area_mean_px,area_median_px,aspect_ratio_mean,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,ecc_mean,ecc_median,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
345.9,316.5,1.3162,0.034,58,201.1,125.1,114.4,0.8117,0.0696,0.6003,0.6277,IMG_5295.jpg,82.9,288413,0.976,319.4,1100,cellpose,0.688,825
415.4,446.0,1.2213,0.028,36,118.5,142.6,95.0,0.9622,0.0492,0.5308,0.5502,IMG_5319.jpg,81.2,303809,0.987,328.0,1100,cellpose,0.688,825
245.9,206.0,1.5038,0.036,28,95.8,142.1,94.1,0.8313,0.0236,0.7236,0.7225,IMG_5320.jpg,78.8,292201,0.982,321.6,1100,cellpose,0.688,825
471.5,469.0,1.1096,0.0,35,118.2,142.2,96.1,1.0237,0.0557,0.3984,0.4258,IMG_5321.jpg,72.7,296025,0.983,323.7,1100,cellpose,0.688,825
558.5,568.0,1.2113,0.0,32,108.8,129.9,116.5,1.2554,0.0608,0.5227,0.5424,IMG_5322.jpg,75.6,294137,0.983,323.1,1100,cellpose,0.688,825
276.4,221.0,1.4827,0.135,37,126.6,150.0,87.6,0.7196,0.035,0.6727,0.7363,IMG_5323.jpg,65.7,292201,0.982,321.3,1100,cellpose,0.688,825
315.1,226.0,1.3893,0.083,24,82.1,147.0,93.3,0.7526,0.0259,0.6244,0.6666,IMG_5324.jpg,77.5,292201,0.983,321.4,1100,cellpose,0.688,825
496.5,532.0,1.2678,0.0,31,105.4,128.9,123.4,0.9251,0.0523,0.5823,0.6311,IMG_5325.jpg,83.3,294137,0.977,322.3,1100,cellpose,0.688,825
438.2,415.0,1.2001,0.0,31,104.7,132.8,111.9,1.0779,0.0459,0.5311,0.552,IMG_5326.jpg,89.3,296025,0.98,323.8,1100,cellpose,0.688,825
468.6,486.0,1.3405,0.0,31,106.1,128.2,118.8,0.9733,0.0497,0.6299,0.6324,IMG_5327.jpg,76.7,292201,0.979,321.5,1100,cellpose,0.688,825
486.4,468.0,1.1815,0.023,43,154.1,120.4,124.9,1.1011,0.075,0.466,0.437,IMG_5345.jpg,95.4,278985,0.984,314.4,1100,cellpose,0.688,825
407.1,405.0,1.2074,0.03,33,116.7,148.5,95.9,1.0083,0.0475,0.4846,0.4497,IMG_5346.jpg,106.7,282697,0.983,316.0,1100,cellpose,0.688,825
350.0,316.5,1.5175,0.16,50,174.5,150.3,91.9,0.7059,0.0611,0.7045,0.7348,IMG_5347.jpg,99.1,286453,0.986,318.9,1100,cellpose,0.688,825
521.5,509.0,1.2162,0.0,40,140.6,127.5,131.6,1.0592,0.0733,0.5461,0.5525,IMG_5348.jpg,94.9,284565,0.986,317.9,1100,cellpose,0.688,825
491.9,494.0,1.3105,0.023,44,154.6,128.2,129.8,0.985,0.0761,0.6125,0.6237,IMG_5349.jpg,82.9,284565,0.97,316.9,1100,cellpose,0.688,825
572.4,566.0,1.2617,0.0,48,169.8,124.0,132.3,1.1257,0.0972,0.5662,0.5764,IMG_5350.jpg,91.4,282697,0.982,315.9,1100,cellpose,0.688,825
623.5,659.0,1.3073,0.0,35,122.2,129.3,129.3,1.1441,0.0762,0.6228,0.6393,IMG_5351.jpg,103.6,286453,0.978,318.0,1100,cellpose,0.688,825
601.3,610.0,1.2896,0.0,32,113.2,131.0,120.4,1.1227,0.0681,0.6099,0.6408,IMG_5352.jpg,94.4,282697,0.984,316.5,1100,cellpose,0.688,825
626.0,663.0,1.1608,0.0,23,80.8,133.9,115.6,1.3712,0.0506,0.4744,0.4935,IMG_5353.jpg,92.4,284565,0.978,317.3,1100,cellpose,0.688,825
416.9,416.0,1.1138,0.0,39,138.9,142.3,99.5,1.0222,0.0579,0.4245,0.4216,IMG_5354.jpg,108.3,280817,0.987,315.7,1100,cellpose,0.688,825
353.9,319.5,1.3519,0.0,36,126.5,146.2,94.1,0.8501,0.0448,0.6035,0.6286,IMG_5355.jpg,99.7,284565,0.985,317.4,1100,cellpose,0.688,825
517.3,518.5,1.1503,0.0,26,90.8,144.4,96.1,1.1256,0.047,0.4746,0.4524,IMG_5356.jpg,91.1,286453,0.986,318.5,1100,cellpose,0.688,825
556.3,566.0,1.2977,0.0,51,181.6,109.3,151.2,1.0592,0.101,0.6027,0.6231,IMG_5376.jpg,88.7,280817,0.985,315.5,1100,cellpose,0.688,825
542.8,567.0,1.3019,0.02,50,179.2,110.2,150.6,1.0412,0.0973,0.613,0.633,IMG_5377.jpg,75.3,278985,0.983,314.2,1100,cellpose,0.688,825
399.0,362.0,1.3893,0.071,85,302.7,125.7,117.0,1.0649,0.1208,0.6451,0.6434,IMG_5378.jpg,80.8,280817,0.982,315.6,1100,cellpose,0.688,825
429.0,432.0,1.2464,0.029,103,366.8,123.8,117.4,1.1296,0.1573,0.5408,0.5314,IMG_5379.jpg,99.2,280817,0.982,314.9,1100,cellpose,0.688,825
